Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Alls,2015,Allt landið,Allir,1596241
Alls,2015,Allt landið,Janúar,160613
Alls,2015,Allt landið,Febrúar,194811
Alls,2015,Allt landið,Mars,217284
Alls,2015,Allt landið,Apríl,174323
Alls,2015,Allt landið,Maí,216514
Alls,2015,Allt landið,Júní,281044
Alls,2015,Allt landið,Júlí,351652
Alls,2015,Allt landið,Ágúst,..
Alls,2015,Allt landið,September,..
Alls,2015,Allt landið,Október,..
Alls,2015,Allt landið,Nóvember,..
Alls,2015,Allt landið,Desember,..
Alls,2015,Höfuðborgarsvæði,Allir,1042927
Alls,2015,Höfuðborgarsvæði,Janúar,127533
Alls,2015,Höfuðborgarsvæði,Febrúar,145159
Alls,2015,Höfuðborgarsvæði,Mars,156730
Alls,2015,Höfuðborgarsvæði,Apríl,122814
Alls,2015,Höfuðborgarsvæði,Maí,138798
Alls,2015,Höfuðborgarsvæði,Júní,158701
Alls,2015,Höfuðborgarsvæði,Júlí,193192
Alls,2015,Höfuðborgarsvæði,Ágúst,..
Alls,2015,Höfuðborgarsvæði,September,..
Alls,2015,Höfuðborgarsvæði,Október,..
Alls,2015,Höfuðborgarsvæði,Nóvember,..
Alls,2015,Höfuðborgarsvæði,Desember,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Allir,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Janúar,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Febrúar,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Mars,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Apríl,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Maí,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Júní,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Júlí,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Ágúst,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",September,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Október,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Nóvember,..
Alls,2015,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Desember,..
Alls,2015,Suðurnes,Allir,77178
Alls,2015,Suðurnes,Janúar,6336
Alls,2015,Suðurnes,Febrúar,8918
Alls,2015,Suðurnes,Mars,9886
Alls,2015,Suðurnes,Apríl,8956
Alls,2015,Suðurnes,Maí,11658
Alls,2015,Suðurnes,Júní,15569
Alls,2015,Suðurnes,Júlí,15855
Alls,2015,Suðurnes,Ágúst,..
Alls,2015,Suðurnes,September,..
Alls,2015,Suðurnes,Október,..
Alls,2015,Suðurnes,Nóvember,..
Alls,2015,Suðurnes,Desember,..
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Allir,73789
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Janúar,5180
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Febrúar,5794
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Mars,6975
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Apríl,5975
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Maí,11165
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Júní,16439
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Júlí,22261
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Ágúst,..
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",September,..
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Október,..
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Nóvember,..
Alls,2015,"Vesturland, Vestfirðir frá og með 2007",Desember,..
Alls,2015,Norðurland,Allir,107214
Alls,2015,Norðurland,Janúar,4787
Alls,2015,Norðurland,Febrúar,7588
Alls,2015,Norðurland,Mars,8939
Alls,2015,Norðurland,Apríl,10299
Alls,2015,Norðurland,Maí,14959
Alls,2015,Norðurland,Júní,25559
Alls,2015,Norðurland,Júlí,35083
Alls,2015,Norðurland,Ágúst,..
Alls,2015,Norðurland,September,..
Alls,2015,Norðurland,Október,..
Alls,2015,Norðurland,Nóvember,..
Alls,2015,Norðurland,Desember,..
Alls,2015,Austurland,Allir,60029
Alls,2015,Austurland,Janúar,885
Alls,2015,Austurland,Febrúar,2233
Alls,2015,Austurland,Mars,3749
Alls,2015,Austurland,Apríl,3478
Alls,2015,Austurland,Maí,8708
Alls,2015,Austurland,Júní,17380
Alls,2015,Austurland,Júlí,23596
Alls,2015,Austurland,Ágúst,..
Alls,2015,Austurland,September,..
Alls,2015,Austurland,Október,..
Alls,2015,Austurland,Nóvember,..
Alls,2015,Austurland,Desember,..
Alls,2015,Suðurland,Allir,235104
Alls,2015,Suðurland,Janúar,15892
Alls,2015,Suðurland,Febrúar,25119
Alls,2015,Suðurland,Mars,31005
Alls,2015,Suðurland,Apríl,22801
Alls,2015,Suðurland,Maí,31226
Alls,2015,Suðurland,Júní,47396
Alls,2015,Suðurland,Júlí,61665
Alls,2015,Suðurland,Ágúst,..
Alls,2015,Suðurland,September,..
Alls,2015,Suðurland,Október,..
Alls,2015,Suðurland,Nóvember,..
Alls,2015,Suðurland,Desember,..
Alls,2014,Allt landið,Allir,2307314
Alls,2014,Allt landið,Janúar,119522
Alls,2014,Allt landið,Febrúar,160444
Alls,2014,Allt landið,Mars,190004
Alls,2014,Allt landið,Apríl,157418
Alls,2014,Allt landið,Maí,179956
Alls,2014,Allt landið,Júní,239802
Alls,2014,Allt landið,Júlí,299419
Alls,2014,Allt landið,Ágúst,287649
Alls,2014,Allt landið,September,198418
Alls,2014,Allt landið,Október,182734
Alls,2014,Allt landið,Nóvember,158604
Alls,2014,Allt landið,Desember,133344
Alls,2014,Höfuðborgarsvæði,Allir,1554147
Alls,2014,Höfuðborgarsvæði,Janúar,97716
Alls,2014,Höfuðborgarsvæði,Febrúar,122846
Alls,2014,Höfuðborgarsvæði,Mars,145359
Alls,2014,Höfuðborgarsvæði,Apríl,116439
Alls,2014,Höfuðborgarsvæði,Maí,122750
Alls,2014,Höfuðborgarsvæði,Júní,140868
Alls,2014,Höfuðborgarsvæði,Júlí,164227
Alls,2014,Höfuðborgarsvæði,Ágúst,157659
Alls,2014,Höfuðborgarsvæði,September,124809
Alls,2014,Höfuðborgarsvæði,Október,128520
Alls,2014,Höfuðborgarsvæði,Nóvember,124189
Alls,2014,Höfuðborgarsvæði,Desember,108765
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Allir,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Janúar,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Febrúar,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Mars,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Apríl,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Maí,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Júní,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Júlí,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Ágúst,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",September,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Október,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Nóvember,..
Alls,2014,"Vesturland, Vestfirðir og Suðurnes fram til 2007",Desember,..
Alls,2014,Suðurnes,Allir,109684
Alls,2014,Suðurnes,Janúar,4899
Alls,2014,Suðurnes,Febrúar,7392
Alls,2014,Suðurnes,Mars,6964
Alls,2014,Suðurnes,Apríl,6480
Alls,2014,Suðurnes,Maí,8831
Alls,2014,Suðurnes,Júní,12540
Alls,2014,Suðurnes,Júlí,14872
Alls,2014,Suðurnes,Ágúst,15858
Alls,2014,Suðurnes,September,9273
Alls,2014,Suðurnes,Október,8809
Alls,2014,Suðurnes,Nóvember,6998
Alls,2014,Suðurnes,Desember,6768
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Allir,100742
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Janúar,2935
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Febrúar,4866
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Mars,6673
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Apríl,4405
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Maí,7713
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Júní,13575
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Júlí,19528
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Ágúst,17042
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",September,11210
Alls,2014,"Vesturland, Vestfirðir frá og með 2007",Október,5676
